iter	Passed	Remaining
354	11149	20257
355	11193	20248
356	11234	20235
357	11271	20213
358	11299	20176
359	11332	20145
360	11372	20129
361	11403	20097
362	11434	20065
363	11465	20032
364	11494	19996
365	11525	19964
366	11556	19931
367	11583	19892
368	11612	19857
369	11646	19830
370	11679	19802
371	11709	19767
372	11742	19739
373	11769	19700
374	11798	19664
375	11829	19632
376	11863	19604
377	11891	19566
378	11924	19537
379	11959	19512
380	11988	19476
381	12021	19447
382	12047	19408
383	12077	19374
384	12108	19342
385	12140	19310
386	12168	19274
387	12199	19242
388	12232	19214
389	12275	19200
390	12313	19178
391	12345	19147
392	12375	19114
393	12412	19091
394	12446	19063
395	12476	19029
396	12507	18997
397	12541	18970
398	12573	18939
399	12606	18909
400	12645	18889
401	12675	18854
402	12701	18815
403	12731	18781
404	12759	18745
405	12793	18717
406	12821	18681
407	12852	18649
408	12886	18621
409	12918	18590
410	12952	18561
411	12987	18535
412	13017	18501
413	13055	18479
414	13099	18465
415	13140	18447
416	13175	18419
417	13218	18404
418	13252	18376
419	13282	18342
420	13315	18312
421	13348	18283
422	13378	18248
423	13412	18221
424	13441	18185
425	13469	18149
426	13507	18126
427	13541	18097
428	13577	18071
429	13607	18037
430	13642	18010
431	13678	17984
432	13712	17955
433	13747	17929
434	13781	17899
435	13817	17874
436	13850	17844
437	13883	17814
438	13917	17785
439	13952	17757
440	13983	17725
441	14014	17692
442	14041	17655
443	14069	17619
444	14099	17584
445	14131	17553
446	14159	17517
447	14191	17485
448	14221	17452
449	14253	17421
450	14282	17385
451	14314	17355
452	14348	17325
453	14381	17296
454	14414	17265
455	14442	17230
456	14473	17196
457	14503	17163
458	14533	17129
459	14564	17097
460	14592	17061
461	14622	17027
462	14659	17002
463	14692	16972
464	14727	16944
465	14755	16908
466	14783	16872
467	14817	16844
468	14850	16813
469	14884	16784
470	14913	16749
471	14958	16733
472	15012	16726
473	15066	16719
474	15102	16691
475	15145	16672
476	15186	16650
477	15223	16625
478	15269	16607
479	15302	16577
480	15342	16554
481	15372	16521
482	15416	16501
483	15448	16469
484	15480	16438
485	15520	16414
486	15555	16386
487	15595	16362
488	15627	16330
489	15673	16313
490	15713	16289
491	15757	16270
492	15795	16244
493	15834	16219
494	15864	16185
495	15897	16153
496	15932	16125
497	15972	16100
498	16013	16077
499	16047	16047
500	16081	16017
501	16113	15985
502	16158	15965
503	16199	15942
504	16237	15915
505	16273	15887
506	16308	15858
507	16343	15828
508	16382	15802
509	16419	15775
510	16458	15749
511	16493	15720
512	16531	15693
513	16568	15666
514	16611	15643
515	16656	15623
516	16691	15593
517	16733	15570
518	16763	15535
519	16801	15509
520	16842	15484
521	16884	15461
522	16918	15430
523	16952	15399
524	16981	15364
525	17009	15327
526	17043	15296
527	17079	15268
528	17112	15236
529	17149	15208
530	17192	15185
531	17236	15162
532	17270	15132
533	17301	15098
534	17342	15073
535	17376	15042
536	17426	15025
537	17470	15002
538	17525	14988
539	17562	14961
540	17606	14938
541	17644	14910
542	17684	14883
543	17717	14851
544	17747	14816
545	17777	14782
546	17808	14748
547	17841	14715
548	17871	14680
549	17902	14647
550	17941	14619
551	17980	14592
552	18014	14561
553	18044	14527
554	18077	14494
555	18107	14459
556	18143	14430
557	18180	14401
558	18221	14374
559	18266	14352
560	18305	14324
561	18346	14298
562	18378	14265
563	18408	14230
564	18443	14199
565	18474	14165
566	18508	14134
567	18540	14101
568	18575	14070
569	18610	14039
570	18645	14008
571	18691	13986
572	18731	13958
573	18769	13930
574	18808	13901
575	18844	13871
576	18874	13837
577	18904	13802
578	18934	13767
579	18965	13733
580	18994	13698
581	19029	13667
582	19058	13632
583	19090	13598
584	19120	13564
585	19151	13530
586	19186	13499
587	19214	13462
588	19245	13429
589	19273	13393
590	19307	13362
591	19338	13327
592	19367	13292
593	19400	13260
594	19435	13228
595	19463	13193
596	19492	13158
597	19522	13123
598	19547	13086
599	19578	13052
600	19610	13019
601	19638	12983
602	19675	12954
603	19706	12920
604	19736	12885
605	19767	12851
606	19801	12820
607	19834	12787
608	19891	12771
609	19940	12748
610	19988	12725
611	20022	12693
612	20054	12660
613	20082	12625
614	20112	12590
615	20141	12555
616	20170	12520
617	20199	12485
618	20232	12452
619	20263	12419
620	20293	12385
621	20324	12351
622	20356	12318
623	20389	12286
624	20421	12252
625	20453	12219
626	20486	12187
627	20518	12154
628	20548	12119
629	20578	12085
630	20608	12051
631	20641	12019
632	20673	11986
633	20708	11954
634	20737	11920
635	20766	11885
636	20796	11851
637	20825	11816
638	20854	11781
639	20887	11749
640	20921	11717
641	20949	11682
642	20982	11649
643	21010	11614
644	21041	11581
645	21069	11545
646	21098	11511
647	21131	11479
648	21161	11444
649	21192	11411
650	21230	11381
651	21271	11353
652	21313	11325
653	21356	11298
654	21398	11270
655	21433	11239
656	21465	11206
657	21492	11170
658	21531	11141
659	21564	11109
660	21592	11073
661	21624	11040
662	21654	11007
663	21691	10976
664	21723	10943
665	21759	10912
666	21792	10879
667	21826	10847
668	21859	10815
669	21893	10783
670	21924	10749
671	21968	10722
672	21999	10688
673	22030	10655
674	22063	10623
675	22095	10590
676	22126	10556
677	22154	10521
678	22190	10490
679	22220	10456
680	22252	10423
681	22285	10390
682	22317	10358
683	22353	10326
684	22382	10292
685	22415	10260
686	22451	10228
687	22480	10194
688	22512	10161
689	22544	10128
690	22578	10096
691	22612	10064
692	22651	10034
693	22686	10003
694	22719	9970
695	22752	9937
696	22780	9903
697	22809	9868
698	22854	9841
699	22892	9810
700	22925	9778
701	22957	9745
702	22997	9716
703	23030	9683
704	23066	9651
705	23097	9618
706	23133	9586
707	23168	9555
708	23211	9526
709	23248	9495
710	23286	9465
711	23325	9435
712	23357	9402
713	23391	9369
714	23419	9335
715	23450	9301
716	23481	9268
717	23510	9233
718	23541	9200
719	23579	9169
720	23608	9135
721	23639	9102
722	23673	9070
723	23715	9040
724	23746	9007
725	23781	8975
726	23814	8942
727	23849	8910
728	23880	8877
729	23912	8844
730	23948	8812
731	23977	8778
732	24006	8744
733	24037	8711
734	24069	8678
735	24099	8644
736	24127	8609
737	24161	8577
738	24190	8543
739	24223	8510
740	24257	8478
741	24290	8446
742	24316	8411
743	24354	8380
744	24386	8346
745	24416	8313
746	24444	8279
747	24474	8245
748	24504	8211
749	24539	8179
750	24568	8146
751	24597	8112
752	24628	8078
753	24662	8046
754	24691	8012
755	24724	7979
756	24755	7946
757	24781	7911
758	24811	7878
759	24838	7843
760	24868	7810
761	24897	7776
762	24925	7742
763	24953	7708
764	24981	7674
765	25010	7640
766	25038	7606
767	25067	7572
768	25098	7539
769	25128	7505
770	25157	7472
771	25187	7438
772	25220	7406
773	25258	7375
774	25292	7343
775	25356	7319
776	25405	7291
777	25445	7260
778	25479	7228
779	25515	7196
780	25542	7162
781	25576	7130
782	25608	7097
783	25644	7065
784	25669	7030
785	25707	6999
786	25740	6966
787	25772	6933
788	25800	6899
789	25832	6866
790	25863	6833
791	25889	6799
792	25919	6765
793	25950	6732
794	25978	6698
795	26011	6666
796	26041	6632
797	26071	6599
798	26102	6566
799	26130	6532
800	26162	6499
801	26192	6466
802	26224	6433
803	26254	6400
804	26283	6366
805	26312	6333
806	26345	6300
807	26374	6267
808	26404	6233
809	26435	6200
810	26461	6166
811	26492	6133
812	26527	6101
813	26558	6068
814	26587	6035
815	26623	6003
816	26653	5970
817	26684	5937
818	26720	5905
819	26752	5872
820	26783	5839
821	26815	5806
822	26845	5773
823	26874	5740
824	26905	5707
825	26935	5674
826	26965	5640
827	26994	5607
828	27025	5574
829	27052	5540
830	27089	5509
831	27122	5476
832	27151	5443
833	27201	5414
834	27246	5383
835	27275	5350
836	27314	5319
837	27348	5286
838	27379	5253
839	27408	5220
840	27443	5188
841	27480	5156
842	27514	5124
843	27552	5092
844	27588	5060
845	27622	5028
846	27653	4995
847	27684	4962
848	27729	4931
849	27757	4898
850	27790	4865
851	27823	4833
852	27854	4800
853	27889	4768
854	27924	4735
855	27961	4703
856	27990	4670
857	28019	4637
858	28051	4604
859	28086	4572
860	28115	4538
861	28151	4506
862	28182	4473
863	28214	4441
864	28248	4408
865	28281	4376
866	28310	4342
867	28344	4310
868	28379	4278
869	28417	4246
870	28448	4213
871	28476	4180
872	28507	4147
873	28550	4115
874	28590	4084
875	28625	4051
876	28658	4019
877	28686	3986
878	28718	3953
879	28750	3920
880	28791	3889
881	28823	3856
882	28866	3824
883	28906	3793
884	28932	3759
885	28965	3726
886	29003	3694
887	29046	3663
888	29087	3631
889	29125	3599
890	29224	3575
891	29343	3552
892	29401	3522
893	29468	3493
894	29532	3464
895	29571	3432
896	29602	3399
897	29645	3367
898	29678	3334
899	29717	3301
900	29758	3269
901	29791	3236
902	29828	3204
903	29860	3170
904	29892	3137
905	29927	3105
906	29955	3071
907	29990	3038
908	30025	3005
909	30060	2972
910	30092	2939
911	30123	2906
912	30160	2874
913	30202	2841
914	30236	2808
915	30277	2776
916	30318	2744
917	30348	2710
918	30381	2677
919	30410	2644
920	30439	2611
921	30476	2578
922	30504	2544
923	30530	2511
924	30565	2478
925	30599	2445
926	30631	2412
927	30662	2378
928	30693	2345
929	30725	2312
930	30758	2279
931	30791	2246
932	30819	2213
933	30851	2180
934	30881	2146
935	30910	2113
936	30944	2080
937	30977	2047
938	31011	2014
939	31039	1981
940	31072	1948
941	31107	1915
942	31142	1882
943	31181	1849
944	31227	1817
945	31262	1784
946	31300	1751
947	31338	1719
948	31373	1686
949	31409	1653
950	31446	1620
951	31483	1587
952	31521	1554
953	31556	1521
954	31591	1488
955	31625	1455
956	31656	1422
957	31694	1389
958	31735	1356
959	31772	1323
960	31808	1290
961	31838	1257
962	31868	1224
963	31896	1191
964	31929	1158
965	31962	1124
966	31992	1091
967	32025	1058
968	32059	1025
969	32087	992
970	32121	959
971	32155	926
972	32187	893
973	32223	860
974	32256	827
975	32291	794
976	32324	760
977	32354	727
978	32387	694
979	32420	661
980	32451	628
981	32483	595
982	32514	562
983	32545	529
984	32568	495
985	32590	462
986	32608	429
987	32642	396
988	32661	363
989	32680	330
990	32697	296
991	32714	263
992	32733	230
993	32751	197
994	32769	164
995	32787	131
996	32806	98
997	32824	65
998	32841	32
999	32858	0
