iter	Logloss
0	0.6828670771
1	0.6716919817
2	0.6617214839
3	0.652947811
4	0.6449867901
5	0.6374472407
6	0.6292436032
7	0.6225231211
8	0.6151357616
9	0.6081794037
10	0.601890774
11	0.5963233155
12	0.5910200055
13	0.5859093827
14	0.5805430688
15	0.575601888
16	0.5716888223
17	0.5677765996
18	0.5638383038
19	0.5600381693
20	0.5569933314
21	0.5538694897
22	0.5508682512
23	0.5481076094
24	0.5455186559
25	0.5427331384
26	0.540137732
27	0.5376132477
28	0.5354964669
29	0.5333213293
30	0.5313863673
31	0.5296242013
32	0.5279963503
33	0.5261132418
34	0.524334126
35	0.5228468612
36	0.5216810717
37	0.5203017821
38	0.5191303231
39	0.5177131785
40	0.5164431451
41	0.5152990667
42	0.5140342483
43	0.5130408075
44	0.51199173
45	0.5108727076
46	0.5097920872
47	0.5086535414
48	0.507299486
49	0.5064399946
50	0.5054895001
51	0.5047277013
52	0.5041339768
53	0.5032141272
54	0.502446455
55	0.5015958514
56	0.5008548803
57	0.5000059929
58	0.499188563
59	0.4985235254
60	0.4975752062
61	0.4970782432
62	0.4961878328
63	0.4956440251
64	0.4951709648
65	0.49383934
66	0.4931886341
67	0.4923335315
68	0.4917960301
69	0.4907770022
70	0.4900231189
71	0.489375753
72	0.4888648683
73	0.4882024694
74	0.4877066152
75	0.4870939492
76	0.4867769093
77	0.486345274
78	0.4858959029
79	0.4851676985
80	0.4845624826
81	0.4837641166
82	0.483197695
83	0.4826872863
84	0.4822733121
85	0.4819553015
86	0.4815042817
87	0.4810787425
88	0.480785955
89	0.4801972623
90	0.4797350531
91	0.4791380253
92	0.4788613345
93	0.4784757276
94	0.4777403777
95	0.4771436576
96	0.4763580122
97	0.475980688
98	0.4755860203
99	0.4751229287
100	0.4742880502
101	0.4738890123
102	0.4731799017
103	0.4723269091
104	0.4718619606
105	0.4714908654
106	0.4712390998
107	0.4705468469
108	0.4702006298
109	0.4697629117
110	0.469402151
111	0.4690500288
112	0.4685636608
113	0.4682394185
114	0.4675422456
115	0.4671882813
116	0.4668665274
117	0.4663971856
118	0.4660603213
119	0.4656184595
120	0.4646134487
121	0.4639261207
122	0.4636805155
123	0.4633151726
124	0.4628917164
125	0.4625805101
126	0.4622923934
127	0.4621232735
128	0.4617193309
129	0.4612574074
130	0.460669546
131	0.4604875221
132	0.4601715464
133	0.4599596222
134	0.4593873846
135	0.4590144518
136	0.4584001371
137	0.4579505136
138	0.4573706155
139	0.4570176969
140	0.4565814306
141	0.4555528055
142	0.4552852249
143	0.4549014912
144	0.4545094851
145	0.4542194869
146	0.4540406999
147	0.4535692518
148	0.453090987
149	0.4527093878
150	0.4519367209
151	0.4516051582
152	0.4511973054
153	0.4509030196
154	0.4502947558
155	0.4498208267
156	0.4495767385
157	0.4492394059
158	0.4489782054
159	0.4485551263
160	0.4481669303
161	0.4479172761
162	0.4476548234
163	0.446941909
164	0.4467030542
165	0.4461747389
166	0.445793199
167	0.4452827361
168	0.4445241959
169	0.4441961263
170	0.443782443
171	0.4432209028
172	0.4428965223
173	0.4418829754
174	0.4416046564
175	0.4413756303
176	0.4408972879
177	0.4400734691
178	0.4398767082
179	0.4394867339
180	0.4391794181
181	0.4389715568
182	0.4384046445
183	0.4381475303
184	0.4378005973
185	0.4375526857
186	0.4372548153
187	0.437040491
188	0.4366970382
189	0.4363904015
190	0.4361968131
191	0.4357995753
192	0.4354784263
193	0.4350742657
194	0.4347446431
195	0.4343919532
196	0.4330475458
197	0.432698387
198	0.4324811334
199	0.4317382229
200	0.4313427578
201	0.4309535238
202	0.4307377955
203	0.4301583525
204	0.4293900819
205	0.4292462231
206	0.4289451914
207	0.4286350309
208	0.4283566041
209	0.4278610994
210	0.4269318836
211	0.4265488718
212	0.4263432745
213	0.4261839988
214	0.4258380493
215	0.4255645261
216	0.4251335516
217	0.4246007719
218	0.4240153225
219	0.4236620794
220	0.4234558026
221	0.4231518466
222	0.4226980574
223	0.4224132473
224	0.4221611652
225	0.4219071645
226	0.4215630958
227	0.421281232
228	0.4207156015
229	0.4203929626
230	0.4201749532
231	0.4198490589
232	0.419612365
233	0.4192449493
234	0.418928622
235	0.4179446396
236	0.4177425365
237	0.4173704756
238	0.4169974652
239	0.4167176077
240	0.4163925791
241	0.4160537266
242	0.4159477728
243	0.4157545046
244	0.4155339163
245	0.4152903888
246	0.4149821263
247	0.4148051669
248	0.414394794
249	0.4140628872
250	0.41387631
251	0.4136972929
252	0.4133719538
253	0.4131315646
254	0.412728749
255	0.412497852
256	0.4122848233
257	0.4120170042
258	0.4118869401
259	0.4117450368
260	0.4114772415
261	0.4113251271
262	0.4105980172
263	0.4104246632
264	0.4101605918
265	0.4099683271
266	0.4098660144
267	0.4095706718
268	0.4093120932
269	0.4090479922
270	0.4088623581
271	0.4086072191
272	0.4083928001
273	0.4081189723
274	0.4078673569
275	0.407581092
276	0.407141958
277	0.4067891446
278	0.4063834014
279	0.4059807873
280	0.405328732
281	0.4049962034
282	0.4041671345
283	0.4037661666
284	0.4035416448
285	0.4032489622
286	0.4023497546
287	0.4019464053
288	0.4016830635
289	0.4012300433
290	0.4007879969
291	0.4005772708
292	0.4002397749
293	0.4001328012
294	0.3996971155
295	0.3994387527
296	0.3989788595
297	0.3987135529
298	0.3984966309
299	0.3982682107
300	0.3980180304
301	0.3977963609
302	0.3974478886
303	0.3973048611
304	0.3967487107
305	0.3964442204
306	0.3963093053
307	0.3959138865
308	0.3957507416
309	0.3955942709
310	0.3950305007
311	0.394888817
312	0.3947813956
313	0.3941388789
314	0.3939907436
315	0.3937182891
316	0.3935228741
317	0.3928323187
318	0.3919033444
319	0.3912866265
320	0.3911989096
321	0.3908837079
322	0.3904752575
323	0.3900880486
324	0.3898621639
325	0.3893394561
326	0.3891650138
327	0.3884097795
328	0.3879754388
329	0.3877318411
330	0.3874214644
331	0.3871586199
332	0.3868826818
333	0.3866009052
334	0.3861085981
335	0.3859033269
336	0.3857002548
337	0.3852017239
338	0.3848274037
339	0.3845538835
340	0.3843421446
341	0.3839198405
342	0.3837547208
343	0.3835974561
344	0.3829170691
345	0.3823417089
346	0.3821270874
347	0.3818440267
348	0.3815516266
349	0.3811908067
350	0.3805439883
351	0.3800988491
352	0.379781658
353	0.3792939507
354	0.3790785721
355	0.3788005756
356	0.378520979
357	0.3782189955
358	0.3778720236
359	0.3775762775
360	0.3772644664
361	0.3766581312
362	0.3765638798
363	0.3759242911
364	0.3754569634
365	0.3753002283
366	0.3750207059
367	0.3746827047
368	0.3742763484
369	0.3739429043
370	0.3732660885
371	0.3728581572
372	0.3726028954
373	0.3719458874
374	0.3715891385
375	0.3713730731
376	0.3711635974
377	0.3708970915
378	0.3705184606
379	0.3700415249
380	0.3695141501
381	0.3691941647
382	0.3687841728
383	0.3684724487
384	0.368184565
385	0.3677542633
386	0.3671994749
387	0.3669392502
388	0.366351296
389	0.3659149949
390	0.3653858647
391	0.365189878
392	0.3649825914
393	0.3647832092
394	0.3645721621
395	0.3643101501
396	0.3639726185
397	0.3636151482
398	0.363387273
399	0.3631567349
400	0.3629850849
401	0.3627866843
402	0.3626074265
403	0.3623819079
404	0.3620032288
405	0.3612563891
406	0.3608451181
407	0.3605261123
408	0.3601625649
409	0.3599149071
410	0.3595597171
411	0.3593164681
412	0.3587659696
413	0.3585273758
414	0.3582929377
415	0.3581344117
416	0.3578113978
417	0.3577175903
418	0.3574453686
419	0.3571332684
420	0.3568978086
421	0.3567083212
422	0.356523149
423	0.356249969
424	0.3560379022
425	0.3556835009
426	0.3553596286
427	0.3549722898
428	0.3537046024
429	0.353459965
430	0.3531271704
431	0.3528278102
432	0.3523704635
433	0.3521965782
434	0.3519265576
435	0.3516731677
436	0.3514525983
437	0.3512840779
438	0.3509816556
439	0.3508512913
440	0.35068794
441	0.3504151924
442	0.3502319937
443	0.3500537488
444	0.3498448908
445	0.3495628412
446	0.3493220827
447	0.3491279635
448	0.3489220353
449	0.3485133163
450	0.3478972881
451	0.3476049189
452	0.347401836
453	0.347215982
454	0.3470617497
455	0.3469846103
456	0.3467431383
457	0.3465268001
458	0.3459049816
459	0.3455412517
460	0.3452785025
461	0.345072784
462	0.3448208376
463	0.3446076073
464	0.3444402834
465	0.3442198233
466	0.3439172134
467	0.3432852727
468	0.3430546916
469	0.3428613073
470	0.3426544053
471	0.3425389752
472	0.3419718715
473	0.3417605494
474	0.3416236007
475	0.3414520317
476	0.341020934
477	0.3406130384
478	0.3404445535
479	0.3402743198
480	0.3401070944
481	0.3399776735
482	0.3397502503
483	0.3396296992
484	0.3394402352
485	0.3390482857
486	0.3386773126
487	0.3385384239
488	0.3383583661
489	0.3382026732
490	0.3380312177
491	0.3378485202
492	0.3377397234
493	0.3375511077
494	0.3371324256
495	0.3370496643
496	0.3368352729
497	0.3364980165
498	0.3362921324
499	0.3361653133
500	0.3357894932
501	0.3356280116
502	0.3354560032
503	0.3352943263
504	0.3350974552
505	0.3349253351
506	0.3348557773
507	0.3347792559
508	0.3346250561
509	0.3343107251
510	0.3341756131
511	0.3338385627
512	0.3336364639
513	0.3333919525
514	0.3331572911
515	0.3328685951
516	0.3327190466
517	0.3326204492
518	0.3325134324
519	0.3323445355
520	0.332237938
521	0.3320926823
522	0.3319098808
523	0.3317622585
524	0.331585119
525	0.3314215272
526	0.3313663773
527	0.331236297
528	0.3310681113
529	0.330917516
530	0.3307418865
531	0.3305671912
532	0.3303387017
533	0.3302285088
534	0.3300193733
535	0.3298460055
536	0.3296340856
537	0.3294804485
538	0.3292918586
539	0.329192861
540	0.3290674202
541	0.3289608316
542	0.3287459468
543	0.3285000132
544	0.3283983105
545	0.3282912014
546	0.3279349576
547	0.3277569633
548	0.3276500449
549	0.3274478266
550	0.3272623034
551	0.3271678253
552	0.3270741434
553	0.3269370156
554	0.3266898962
555	0.3265518295
556	0.3263480671
557	0.3262432696
558	0.3261369364
559	0.3259348146
560	0.3257625031
561	0.3255340088
562	0.3253744589
563	0.3252426444
564	0.3250589248
565	0.3249201227
566	0.3247701502
567	0.3246726148
568	0.3244374734
569	0.3242559083
570	0.3240825481
571	0.3239487476
